acronym,meaning
DTST,Defensive Technologies Study Team
DTT,design test tool
DTU,development test unit
DTV,developmental test vehicle
DTV&I,"development, test, verification, and integration"
DTVC,data transmission and verification converter
DTVC,digital transmission and verification converter
DU,display unit
DUA,digital uplink assembly
DUC,digital uplink command
DUC,display use chain
DUNS,Data Universal Numbering System
DV,designated verification
DV,designee for verification
DVD,delta velocity display
DVE,design verification experiment
DVM,digital voltmeter
DVO,delta velocity on/off
DVS,delta velocity system
DVS,design verification specification
DVS,digital voice system
DVT,design verification testing
DVU,delta velocity ullage
DW,data word
DW,developed width
DW,distilled water
DW,double weight
DWI,data word in
DWS,disaster warning satellite
DWT,dog wags tail
DYB,dynamic braking
E,elastic modulus
E,elevation angle
E&D,engineering and development
E&D,evaluation and development
E&DSG,Electro-Optical and Data Systems Group
E&L,engineering and lab
E&M,electrical and mechanical
E&O,engineering and operations
E-E,end to end
E-O,electro-optic
E-mail,electronic mail
E/B,equipment bay
E/C,encoder coupler
E/D,edge distance
E/L,entry/landing
E/M,engineering model
E/M,escape motor
E/O,engineering/operations
E/OCM,electromagnetic/optical countermeasure
E/P,electron/proton
E/W,energy-to-weight ratio
EA,electronics assembly
EA,elevation angle
EAC,early analysis capability
EAC,employee action circle
EAC,energy-absorbing capacity
EAC,estimate at completion
EAC,experiment apparatus container
EAC,experimental apparatus canister
EACE,early analysis capability enhanced
EAD,electrically alterable device
EADI,electronic attitude director indicator
EADS,engineering analysis and data systems
EADT,experiment agency data tape
EAF,engineering analysis facility
EAF,engineering analysis function
EAFB,Edwards Air Force Base
EAFB,Eglin Air Force Base
EAFB,Ellington Air Force Base
EAI,"Electronics Associates, Incorporated"
EAL,equipment airlock
EAM,electrical accounting machine
EAM,emergency action message
EAP,Employee Assistance Program
EAR,engineering action request
EAR,engineering analysis report
EAR,environmental analysis report
EAROM,electrically alterable read-only memory
EAS,engine actuation system
EAS,equivalent airspeed
EASE,electric automatic support equipment
EASE,expert activity scheduling environment
EAT,environmental acceptance test
EATR,extravehicular assist teleoperator robot
EB,electronic beam
EB,emergency box
EB,equipment bay
EB,expendable booster
EBC,emulated buffer computer
EBCDC,extended binary-coded decimal
EBD,eyeballs down (+GZ)
EBI,eyeballs in (+GX)
EBL,eyeballs left (+GY)
EBO,eyeballs out (-GX)
EBR,eyeballs right (-GY)
EBS,emergency breathing subsystem
EBU,eyeballs up (-GZ)
EBW,exploding bridge wire
EC,elastic center
EC,events coupler
EC,experiment computer
EC,element contractor
EC,enabling command
EC,engine control
EC,engine cutoff
EC,engineering change
EC,equipment change
EC,essentiality code
EC,events controller
ECA,electronic computer assembly
ECA,electronic control assembly
ECA,engine control assembly
ECA,engineering change analysis
ECA,epoxy curing agent
ECAS,experiment computer application software
ECB,Engineering Change Board
ECB,event control block
ECB,event controlled block
ECB,events control buffer
ECC,engineering change control
ECC,engineering critical component
ECCAP,electromagnetic compatibility circuit analysis program
ECCAP,electromagnetic compatibility computerized analysis
ECCAP,electromagnetic compatibility computer analysis proposal
ECCB,Engineering Change Control Board
ECCCS,emergency command control communications system
ECCM,electronic counter-countermeasure
ECCP,experiment configuration control panel
ECD,engineering control drawing
ECD,entry corridor display
ECD,estimate at completion change document
ECD,estimated completion date
ECDU,electronic coupling display unit
ECF,equivalency capability file
ECG,electrocardiogram
ECG,electrocardiograph
ECG,electrocardiography
ECG,electroepitaxial crystal growth
ECI,Earth-centered inertia
ECI,employment cost index
ECK,emergency communication key
ECL,electronic circuit logic
ECL,emitter coupled logic
ECLS,environmental control and life support
ECLSS,environmental control and life support system
ECM,electromagnetic countermeasure
ECM,electronic countermeasure
ECM,engineering change management
ECM,error correcting memory
ECN,engineering change notice
ECO,electron-coupled oscillator
ECO,engine combustion
ECO,engine cutoff
ECO,engineering change order
ECOS,experiment computer operating system
ECP,engineering change proposal
ECP,engineering control program
ECP,explicitly coded program
ECR,engineering change request
ECR,equipment change record
ECR,experiment change record
ECR,experiment concept review
ECRA,engineering change request authorization
ECRC,Engineering Contract Requirements Committee
ECRV,exponentially corrected random variable
ECS,effective cross section
ECS,electrical control station
ECS,engine control system
ECS,environmental control system
ECSS,extendable computer system simulator
ECT,experiment command tape
ECU,electrical control unit
ECU,electrical conversion unit
ECU,electronic coupling unit
ECU,engine control unit
ECU,environmental control unit
ECU,extreme closeup
ED,edge distance
ED,Engineering Directorate
ED,Engineering Division
ED,engineering directive
ED,explosive device
EDA,electronic display assembly
EDA,elevation drive assembly
EDAC,error detection and correction
EDB,environmental data book
EDC,Engineering Data Center
EDC,engineering design change
EDCAS,equipment designer's cost analysis system
EDCC,Engineering Drawing Control Center
EDCP,engineering design change proposal
EDCS,electrical distribution and control system
EDDF,error detection and decision feedback
EDDR,electron dipole-dipole reservoir
EDF,engineering data file
EDI,electronic data interchange
EDI,electronic data interfacing
EDIV,engineering design intent verification
EDL,Engineering Development Laboratory
EDLN,engineering development logic network
EDLS,engineering drawing library system
EDM,electrical discharge machining
EDM,engineering development model
EDMS,electronic data management system
EDO,extended-duration orbiter
EDP,electronic data processing
EDP,embedded data processor
EDPC,Electronic Data Processing Center
EDPE,electronic data processing equipment
EDPL,Engineering Development Processor Laboratory
EDPM,electronic data processing machine
EDR,engineering design review
EDS,electrical distribution system
EDS,emergency detection system (subsystem)
EDS,engineering data system
EDS,engineering design system
EDS,engineering development schedule
EDS,executive data base system
EDS,explosive device system
EDSC,early deployment system concept
EDT,eastern daylight time
EDT,electronic theodolite system
EDTS,electronic data transfer system
EDV,electric depressurization valve
EDV,electronic depressurizing valve
EDW,Edwards (TACAN station)
EE,emergency engineering
EE,end effector
EE,experimental evaluation
EECOM,"electrical, environmental, and communications"
EECOM,"electrical, environmental, consumables, and mechanical"
EED,electroexplosive device
EEE,"electronic, electrical, and electromechanical"
EEEU,end effector electronics unit
EEG,electroencephalogram
EEG,electroencephalograph
EEG,electroencephalography
EEH,EMU electrical harness
EEI,Edison Electrical Institute
EEI,essential elements of information
EEL,electrical equipment list
EEM,Earth entry module
EENT,"eye, ear, nose, and throat"
EEO,Equal Employment Office
EEO,equal employment opportunity
EEP,electronic equipment package
EEPROM,electrically erasable read-only memory
EES,ejection escape suit
EES,emergency ejection suit
EES,escape ejection suit
EESS,emergency egress severance system
EESS,emergency egress slide system
EET,electronic control assembly engine thrust
EET,entry elapsed time
EET,equivalent exposure time
EETB,electronic/electrical termination building
EEU,extravehicular excursion unit
EEWS,emergency egress window system
EF,electronic field
EFA,experiment flight application
EFCS,Earth-fixed coordinate system
EFE,electronic field experiment
EFFGRO,efficient growth (computer program)
EFL,effective focal length
EFL,equivalent focal length
EFP,ESA-furnished property
EFSSS,engine failure sensing and shutdown system
EFTO,encrypted for transmission only
EGA,evolved gas analysis
EGB,electronic gimbal box
EGC,experiment ground computer
EGF,electrical grapple fixture
EGIL,"electrical, general instrumentation, and lighting"
EGO,eccentric geophysical observation
EGORD,Experiment Ground Operations Requirements Document
EGRET,energetic Gamma Ray Explorer telescope
EGSE,electrical ground support equipment
EGT,elapsed ground time
EGT,estimated ground time
EGT,exhaust gas temperature
EH/M,extension hose mouthpiece
EHA,electrohydraulic actuator
EHC,electrical heating control
EHF,extremely high frequency
EHOT,external hydrogen/oxygen tank
EHP,effective horsepower
EHP,electrical horsepower
EHS,environmental health services
EHSD,existing hardware/software data base
EHX,experiment-dedicated heat exchanger
EI,electronics interface
EI,end item
EI,engineering instruction
EI,entry interface
EI,environmental impact
EIA,Electrical Industries Association
EIASN,end item assembly sequence number
EIAT,end item acceptance test
EIC,Engineering Information Center
EIC,experimental intercom
EICD,experiment interface control document
EID,end item documentation
EIDP,end item data package
EIFA,element interface functional analysis
EIM,engineering information management
